10.228.71.167 qs1-kdr-1may288-p2 1-го Мая, д. 288
10.228.71.168 qs1-kdr-1may286-p1 1-го Мая, д. 286
10.228.71.171 qs1-kdr-1may234-p5 1-го Мая, д. 234
10.228.71.209 qs1-kdr-1may278-p2 1-го Мая, д. 278
10.228.72.141 qs3-kdr-1may278-p2 1-го Мая, д. 278
10.228.65.141 qs2-kdr-1may97 1-го Мая, д. 97
10.228.65.96 qs2-kdr-1may91-a 1-го Мая, д. 91/к.А
10.228.65.98 qs1-kdr-1may91-a 1-го Мая, д. 91/к.А
10.228.65.94 es1-kdr-1may91-p2 1-го Мая, д. 91
10.228.71.108 qs2-kdr-1may186-p2 1-го Мая, д. 186
10.228.71.109 qs1-kdr-1may186-p3 1-го Мая, д. 186
10.228.77.175 d1-kdr-irkut8-p3 30-й Иркутской Дивизии, д. 8
10.228.77.211 d2-kdr-irkut6-p3 30-й Иркутской Дивизии, д. 6
10.228.78.28 qs1-kdr-irkut6-p3 30-й Иркутской Дивизии, д. 6
10.228.77.40 d1-kdr-irkut13-p7 30-й Иркутской Дивизии, д. 13
10.228.77.32 qs1-kdr-irkut11-p3 30-й Иркутской Дивизии, д. 11
10.228.77.37 qs1-kdr-irkut9-2-p1 30-й Иркутской Дивизии, д. 9/к.2
10.228.77.191 d1-kdr-irkut14-p2 30-й Иркутской Дивизии, д. 14
10.228.65.168 qs2-kdr-40lp67-p2 40-летия Победы, д. 67
10.228.65.169 qs1-kdr-40lp67-p2 40-летия Победы, д. 67
10.228.65.194 es1-kdr-40lp65-p4 40-летия Победы, д. 65
10.228.71.129 qs1-kdr-40lp56-p4 40-летия Победы, д. 56
10.228.71.113 qs1-kdr-40lp71-p3 40-летия Победы, д. 71
10.228.71.114 qs1-kdr-40lp71-p2 40-летия Победы, д. 71
10.228.71.125 qs1-kdr-40lp52-p2 40-летия Победы, д. 52
10.228.116.143 q1-kdr-ats2 40-летия Победы, д. 43
10.228.65.165 d1-kdr-40lp37-3-p1 40-летия Победы, д. 37/к.3
10.228.65.131 es1-kdr-40lp35-3-p2 40-летия Победы, д. 35/к.3
10.228.65.148 d1-kdr-40lp33-7-p1 40-летия Победы, д. 33/к.7
10.228.65.134 d1-kdr-40lp33-6-p1 40-летия Победы, д. 33/к.6
10.228.65.135 d1-kdr-40lp33-6-p2 40-летия Победы, д. 33/к.6
10.228.65.128 q1-kdr-40lp33-5-p3 40-летия Победы, д. 33/к.5
10.228.65.130 qs1-kdr-40lp33-4-p2 40-летия Победы, д. 33/к.4
10.228.71.89 q1-kdr-40lp33-11-p3 40-летия Победы, д. 33/к.11
10.228.73.186 qs1-kdr-altai8-p2 Алтайская, д. 8
10.228.70.61 qs1-kdr-anap22-p3 Анапская, д. 22
10.228.70.55 qs1-kdr-anap26-p2 Анапская, д. 26
10.228.70.58 qs2-kdr-anap26-p2 Анапская, д. 26
10.228.70.57 qs1-kdr-anap26-p6 Анапская, д. 26
10.228.70.59 qs1-kdr-anap24-p3 Анапская, д. 24
10.228.71.126 d2-kdr-armavirskaya60-p1 Армавирская, д. 60
10.228.71.133 d1-kdr-armavirskaya60-p4 Армавирская, д. 60
10.228.67.70 qs1-kdr-ishunina3-p2 Архитектора Ишунина, д. 3
10.228.67.72 qs1-kdr-ishunina3-p3 Архитектора Ишунина, д. 3
10.228.67.61 qs1-kdr-ishunina2-p2 Архитектора Ишунина, д. 2
10.228.67.95 qs1-kdr-atarbekova17-p2 Атарбекова, д. 17
10.228.67.96 qs1-kdr-atarbekova17-p3 Атарбекова, д. 17
10.228.68.90 qs1-kdr-berez89-p2 Березанская, д. 89
10.228.76.20 d1-kdr-blago13-2-p1 Дмитрия Благоева, д. 13/к.2
10.228.76.43 d1-kdr-blago50-p2 Дмитрия Благоева, д. 50
10.228.76.56 d1-kdr-blago40-p4 Дмитрия Благоева, д. 40
10.228.76.153 d1-kdr-blago20-p4 Дмитрия Благоева, д. 20
10.228.76.144 d1-kdr-blago14-p3 Дмитрия Благоева, д. 14
10.228.76.141 d1-kdr-blago6-p4 Дмитрия Благоева, д. 6
10.228.76.152 d1-kdr-blago2-p2 Дмитрия Благоева, д. 2
10.228.76.26 d1-kdr-blago23-p3 Дмитрия Благоева, д. 23
10.228.76.37 d2-kdr-blago21-2-p1 Дмитрия Благоева, д. 21/к.2
10.228.76.30 d1-kdr-blago19-p1 Дмитрия Благоева, д. 19
10.228.76.29 qs1-kdr-blago19-p3 Дмитрия Благоева, д. 19
10.228.76.22 d1-kdr-blago15-p3 Дмитрия Благоева, д. 15
10.228.68.246 qs1-kdr-bulvar14 Бульварное Кольцо, д. 14
10.228.68.225 qs1-kdr-bulvar18-p6 Бульварное Кольцо, д. 18
10.228.68.226 qs1-kdr-bulvar18-p4 Бульварное Кольцо, д. 18
10.228.68.227 qs1-kdr-bulvar18-p2 Бульварное Кольцо, д. 18
10.228.73.159 qs1-kdr-burgas56-p2 Бургасская, д. 56
10.228.65.211 qs2-kdr-averkieva10-p5 Аверкиева А.А., д. 10
10.228.65.222 qs1-kdr-averkieva8-p3 Аверкиева А.А., д. 8
10.228.65.224 qs1-kdr-averkieva8-p1 Аверкиева А.А., д. 8
10.228.65.206 qs1-kdr-averkieva4-p1 Аверкиева А.А., д. 4
10.228.65.188 qs1-kdr-averkieva16-p3 Аверкиева А.А., д. 16
10.228.65.191 qs2-kdr-averkieva16-p1 Аверкиева А.А., д. 16
10.228.65.218 qs1-kdr-averkieva6-p2 Аверкиева А.А., д. 6
10.228.65.177 qs2-kdr-averkieva18-p1 Аверкиева А.А., д. 18
10.228.65.70 qs1-kdr-averkieva20-p3 Аверкиева А.А., д. 20
10.228.65.71 qs1-kdr-averkieva20-p1 Аверкиева А.А., д. 20
10.228.71.238 qs2-kdr-40lp103 40-летия Победы, д. 103
10.228.65.118 qs1-kdr-40lp97-2-p4 40-летия Победы, д. 97/к.2
10.228.65.119 qs2-kdr-40lp97-2-p1 40-летия Победы, д. 97/к.2
10.228.71.138 es1-kdr-40lp99-p4 40-летия Победы, д. 99
10.228.65.82 qs1-kdr-40lp101-p4 40-летия Победы, д. 101
10.228.65.83 qs2-kdr-40lp101-p3 40-летия Победы, д. 101
10.228.65.84 qs1-kdr-40lp101-p3 40-летия Победы, д. 101
10.228.65.85 qs2-kdr-40lp101-p2 40-летия Победы, д. 101
10.228.71.242 qs2-kdr-40lp111 40-летия Победы, д. 111
10.228.68.222 qs1-kdr-70lo34-p7 70-летия Октября, д. 34
10.228.68.253 qs1-kdr-70lo12-1 70-летия Октября, д. 12/к.1
10.228.68.239 qs1-kdr-70lo14-p4 70-летия Октября, д. 14
10.228.68.248 qs1-kdr-70lo26-p4 70-летия Октября, д. 26
10.228.68.240 qs1-kdr-70lo18-p2 70-летия Октября, д. 18
10.228.67.94 es1-kdr-avia22-p5 Авиагородок, д. 22
10.228.64.137 qs1-kdr-agrohim105 Агрохимическая, д. 105
10.228.64.178 qs1-kdr-agrohim115 Агрохимическая, д. 115
10.228.64.139 qs1-kdr-agrohim109 Агрохимическая, д. 109
10.228.64.143 es1-kdr-agrohim109 Агрохимическая, д. 109
10.228.64.231 qs1-kdr-azovskaya13-p6 Азовская, д. 13
10.228.64.232 qs1-kdr-azovskaya13-p3 Азовская, д. 13
10.228.64.223 qs1-kdr-azovskaya5-p6 Азовская, д. 5
10.228.64.230 qs1-kdr-azovskaya11-p3 Азовская, д. 11
10.228.73.106 qs1-kdr-aivaz98-p2 Айвазовского, д. 98
10.228.64.116 qs2-kdr-lukjanenko95-2 Лукьяненко П.П., д. 95/к.2
10.228.64.117 qs1-kdr-lukjanenko95-2 Лукьяненко П.П., д. 95/к.2
10.228.64.216 qs1-kdr-lukjanenko95-1 Лукьяненко П.П., д. 95/к.1
10.228.73.184 qs1-kdr-altai2-p4 Алтайская, д. 2
10.228.71.180 qs1-kdr-vologod4-p2 Вологодская, д. 4
10.228.71.181 qs1-kdr-vologod2-p1 Вологодская, д. 2
10.228.71.188 qs1-kdr-vologod20-p3 Вологодская, д. 20
10.228.71.175 qs1-kdr-vologod19 Вологодская, д. 19
10.228.71.174 qs1-kdr-vologod11-p2 Вологодская, д. 11
10.228.71.191 qs1-kdr-vologod22-p1 Вологодская, д. 22
10.228.71.173 qs1-kdr-vologod7-p1 Вологодская, д. 7
10.228.71.247 ls1-kdr-vkrug79-p2 Восточно-Кругликовская, д. 79
10.228.71.251 ls1-kdr-vkrug77-p1 Восточно-Кругликовская, д. 77
10.228.71.253 ls1-kdr-vkrug77-p3 Восточно-Кругликовская, д. 77
10.228.65.233 qs1-kdr-vkrug48-1-p2 Восточно-Кругликовская, д. 48/к.1
10.228.65.234 qs1-kdr-vkrug48-1-p3 Восточно-Кругликовская, д. 48/к.1
10.228.65.109 qs1-kdr-vkrug46-a-p2 Восточно-Кругликовская, д. 46/к.А
10.228.65.115 qs2-kdr-vkrug46-b-p2 Восточно-Кругликовская, д. 46/к.Б
10.228.65.226 qs2-kdr-vkrug48-2-p3 Восточно-Кругликовская, д. 48/к.2
10.228.65.227 qs1-kdr-vkrug48-2-p1 Восточно-Кругликовская, д. 48/к.2
10.228.71.230 qs1-kdr-vkrug72-p2 Восточно-Кругликовская, д. 72
10.228.71.231 qs2-kdr-vkrug72-p2 Восточно-Кругликовская, д. 72
10.228.72.10 ls1-kdr-vkrug71-p1 Восточно-Кругликовская, д. 71
10.228.72.169 d1-kdr-vkrug69-p1 Восточно-Кругликовская, д. 69
10.228.72.21 qs1-kdr-vkrug68-p5 Восточно-Кругликовская, д. 68
10.228.72.221 es1-kdr-vkrug68-p2 Восточно-Кругликовская, д. 68
10.228.72.17 qs1-kdr-vkrug67-p1 Восточно-Кругликовская, д. 67
10.228.67.107 qs1-kdr-dzer103-p3 Дзержинского, д. 103
