10.228.85.64 es1-anp-chehova1-p2 Чехова, д. 1
10.228.85.69 es1-anp-chehova4a Чехова, д. 4/к.А
10.228.85.66 es1-anp-chehova2-p2 Чехова, д. 2
10.228.85.67 es1-anp-chehova2-p6 Чехова, д. 2
10.228.85.16 es1-anp-shevchenko237-p3 Шевченко, д. 237
10.228.85.17 es1-anp-shevchenko237-p6 Шевченко, д. 237
10.228.85.15 es1-anp-shevchenko239 Шевченко, д. 239
10.228.85.20 d1-anp-shevch251-p6 Шевченко, д. 251
10.228.85.85 es1-anp-12mkrn22 мкр. 12-й, д. 22
10.228.85.91 es1-anp-astrahan77-p5 Астраханская, д. 77
10.228.85.44 es1-anp-12mkrn12-p2 мкр. 12-й, д. 12
10.228.85.78 es1-anp-12mkrn45-p2 мкр. 12-й, д. 45
10.228.85.57 es1-anp-12mkrn9-p2 мкр. 12-й, д. 9
10.228.85.58 es1-anp-12mkrn9-p5 мкр. 12-й, д. 9
10.228.85.60 es1-anp-12mkrn10-p5 мкр. 12-й, д. 10
10.228.85.54 es1-anp-12mkrn7 мкр. 12-й, д. 7
10.228.85.53 es1-anp-12mkrn6-p1 мкр. 12-й, д. 6
10.228.85.99 es1-anp-12mkrn21-p1 мкр. 12-й, д. 21
10.228.85.100 es1-anp-12mkrn21-p2 мкр. 12-й, д. 21
10.228.85.95 es1-anp-12mkrn19-p2 мкр. 12-й, д. 19
10.228.85.88 es1-anp-12mkrn39 мкр. 12-й, д. 39
10.228.85.89 es1-anp-12mkrn40 мкр. 12-й, д. 40
10.228.85.84 es1-anp-12mkrn37 мкр. 12-й, д. 37
10.228.85.82 es1-anp-12mkrn35 мкр. 12-й, д. 35
10.228.85.74 es1-anp-12mkrn16-p2 мкр. 12-й, д. 16
10.228.85.75 es1-anp-12mkrn16-p5 мкр. 12-й, д. 16
10.228.85.55 es1-anp-12mkrn8-p2 мкр. 12-й, д. 8
10.228.85.30 es1-anp-gorkogo66-p2 Горького, д. 66
10.228.85.32 es1-anp-gorkogo70-p2 Горького, д. 70
10.228.85.6 es1-anp-gorkogo62-p2 Горького, д. 62
10.228.85.8 es1-anp-gorkogo58-p2 Горького, д. 58
10.228.85.156 es1-anp-evskina5-1-p2 Евскина, д. 5/к.1
10.228.85.120 es1-anp-evskina14a-p2 Евскина, д. 14/к.А
10.228.85.121 es1-anp-evskina14a-p3 Евскина, д. 14/к.А
10.228.85.158 es1-anp-evskina5-2-p4 Евскина, д. 5/к.2
10.228.85.28 es1-anp-krymskaya272-p5 Крымская, д. 272
10.228.85.11 es1-anp-krymskaya171-p2 Крымская, д. 171
10.228.85.12 es1-anp-krymskaya177-p2 Крымская, д. 177
10.228.85.13 es1-anp-krymskaya177-p6 Крымская, д. 177
10.228.85.102 es1-anp-lenina177-p6 Ленина, д. 177
10.228.85.123 es1-anp-lenina179-2 Ленина, д. 179/к.2
10.228.85.108 es1-anp-lenina179-5 Ленина, д. 179/к.5
10.228.85.134 es1-anp-lenina181-p3 Ленина, д. 181
10.228.85.136 es1-anp-lenina175-p5 Ленина, д. 175
10.228.85.109 es1-anp-lenina179-6 Ленина, д. 179/к.6
10.228.85.125 es1-anp-lenina169-p2 Ленина, д. 169
10.228.85.124 es1-anp-lenina165-p1 Ленина, д. 165
10.228.85.126 es1-anp-lenina171-p2 Ленина, д. 171
10.228.85.131 es1-anp-lenina163-p3 Ленина, д. 163
10.228.85.130 es1-anp-lenina173-4 Ленина, д. 173/к.4
10.228.85.144 es1-anp-lenina157-p2 Ленина, д. 157
10.228.85.142 es1-anp-lenina155-p2 Ленина, д. 155
10.228.85.143 es1-anp-lenina155-p3 Ленина, д. 155
10.228.85.151 es1-anp-lenina151-p3 Ленина, д. 151
10.228.85.153 es1-anp-lenina143-p2 Ленина, д. 143
10.228.85.154 es1-anp-lenina143-p5 Ленина, д. 143
10.228.85.23 es1-anp-novoros266-p4 Новороссийская, д. 266
10.228.85.24 es1-anp-novoros266-p5 Новороссийская, д. 266
10.228.85.25 es1-anp-novoros261 Новороссийская, д. 261
10.228.85.52 es1-anp-stahan5-p2 Стахановская, д. 5
10.228.85.50 es1-anp-stahan7-p2 Стахановская, д. 7
10.228.85.51 es1-anp-stahan7-p5 Стахановская, д. 7
10.228.85.46 es1-anp-stahan13-p2 Стахановская, д. 13
10.228.85.72 es1-anp-stahan1-p1 Стахановская, д. 1
10.228.85.106 es1-anp-lenina179-3 Ленина, д. 179/к.3
10.228.85.138 es1-anp-lenina175-p9 Ленина, д. 175
10.228.85.104 es1-anp-lenina179a-p2 Ленина, д. 179/к.А
10.228.85.145 es1-anp-lenina157-p4 Ленина, д. 157
10.228.85.73 es1-anp-stahan1-p6 Стахановская, д. 1
10.228.85.71 es1-anp-chehova4b Чехова, д. 4/к.Б
10.228.85.79 es1-anp-12mkrn45-p5 мкр. 12-й, д. 45
10.228.85.62 es1-anp-12mkrn11-p5 мкр. 12-й, д. 11
10.228.85.56 es1-anp-12mkrn8-p5 мкр. 12-й, д. 8
10.228.85.159 es1-anp-evskina5-2-p7 Евскина, д. 5/к.2
10.228.85.103 es1-anp-lenina177-p9 Ленина, д. 177
10.228.85.107 es1-anp-lenina179-4 Ленина, д. 179/к.4
10.228.85.140 es1-anp-lenina187-p3 Ленина, д. 187
10.228.85.147 es1-anp-lenina159-2 Ленина, д. 159/к.2
10.228.85.19 es1-anp-novorossijskaya238-p6 Новороссийская, д. 238
10.228.85.9 es1-anp-gorkogo56-p1 Горького, д. 56
10.228.85.7 es1-anp-gorkogo60-p2 Горького, д. 60
10.228.85.157 es1-anp-evskina5-2-p2 Евскина, д. 5/к.2
10.228.85.27 es1-anp-krymskaya272-p2 Крымская, д. 272
10.228.85.101 es1-anp-lenina177-p3 Ленина, д. 177
10.228.85.127 es1-anp-lenina171-p4 Ленина, д. 171
10.228.85.146 es1-anp-lenina159-1 Ленина, д. 159/к.1
10.228.85.152 es1-anp-lenina151-p6 Ленина, д. 151
10.228.85.155 es1-anp-lenina143-p6 Ленина, д. 143
10.228.85.37 es1-anp-tersk190-p6 Терская, д. 190
10.228.85.65 es1-anp-chehova1-p7 Чехова, д. 1
10.228.85.59 es1-anp-12mkrn10-p2 мкр. 12-й, д. 10
10.228.85.97 es1-anp-12mkrn20-p2 мкр. 12-й, д. 20
10.228.85.76 es1-anp-12mkrn17-p2 мкр. 12-й, д. 17
10.228.85.38 es1-anp-tersk190-p9 Терская, д. 190
10.228.85.90 es1-anp-astrahan77-p2 Астраханская, д. 77
10.228.85.98 es1-anp-12mkrn20-p5 мкр. 12-й, д. 20
10.228.85.80 es1-anp-12mkrn32 мкр. 12-й, д. 32
10.228.85.68 es1-anp-chehova4 Чехова, д. 4
10.228.85.61 es1-anp-12mkrn11-p2 мкр. 12-й, д. 11
10.228.85.81 es1-anp-12mkrn33 мкр. 12-й, д. 33
10.228.85.29 es1-anp-gorkogo64-p2 Горького, д. 64
10.228.85.10 es1-anp-krasno-zelenyh7-p2 Красно-зеленых, д. 7
10.228.85.122 es1-anp-lenina179-1 Ленина, д. 179/к.1
10.228.85.141 es1-anp-lenina189-p1 Ленина, д. 189
10.228.85.48 es1-anp-stahan9-p2 Стахановская, д. 9
10.228.85.83 es1-anp-12mkrn36 мкр. 12-й, д. 36
10.228.85.31 es1-anp-gorkogo68-p2 Горького, д. 68
10.228.85.35 es1-anp-krymskaya185 Крымская, д. 185
10.228.85.133 es1-anp-lenina181-p2 Ленина, д. 181
10.228.85.47 es1-anp-stahan13-p5 Стахановская, д. 13
10.228.85.5 es1-anp-shevch249-p4 Шевченко, д. 249
10.228.85.128 es1-anp-lenina167-p2 Ленина, д. 167
10.228.85.92 es1-anp-astrahan77-p9 Астраханская, д. 77
10.228.85.96 es1-anp-12mkrn19-p5 мкр. 12-й, д. 19
10.228.85.26 es1-anp-krymskaya250 Крымская, д. 250
10.228.85.129 es1-anp-lenina173-5-p2 Ленина, д. 173/к.5
10.228.85.33 es1-anp-gorkogo70-p7 Горького, д. 70
10.228.85.132 es1-anp-lenina163-p6 Ленина, д. 163
10.228.85.139 es1-anp-lenina187-p1 Ленина, д. 187
10.228.85.70 es1-anp-chehova4g Чехова, д. 4/к.Г
10.228.85.45 es1-anp-12mkrn12-p5 мкр. 12-й, д. 12
10.228.85.77 es1-anp-12mkrn17-p5 мкр. 12-й, д. 17
10.228.85.137 es1-anp-lenina175-p8 Ленина, д. 175
10.228.85.49 es1-anp-stahan9-p5 Стахановская, д. 9
10.228.86.43 sm1-anp-krasno-zelenyh6 Красно-зеленых, д. 6
10.228.86.44 sm1-anp-lenina179-3 Ленина, д. 179/к.3
10.228.86.42 sm1-anp-12mkrn37 мкр. 12-й, д. 37
10.228.86.45 sm1-anp-lenina131 Ленина, д. 131
10.228.85.175 es1-anp-lenina131 Ленина, д. 131
10.228.85.224 es1-anp-12mkrn6-p2 мкр. 12-й, д. 6
10.228.85.86 es1-anp-12mkrn22a мкр. 12-й, д. 22/к.А
