10.228.113.130 qs1-mkp-pioner391-p4 Пионерская, д. 391
10.228.113.26 es1-mkp-pioner407-p2 Пионерская, д. 407
10.228.113.24 es1-mkp-pioner409-1-p1 Пионерская, д. 409/к.1
10.228.113.22 es1-mkp-pioner411-p2 Пионерская, д. 411
10.228.113.23 es1-mkp-pioner411-p4 Пионерская, д. 411
10.228.113.20 es1-mkp-pioner413-p2 Пионерская, д. 413
10.228.113.21 es1-mkp-pioner413-p4 Пионерская, д. 413
10.228.113.18 es1-mkp-pioner415-2-p2 Пионерская, д. 415/к.2
10.228.113.61 es1-mkp-pioner416-p4 Пионерская, д. 416
10.228.113.16 es1-mkp-pioner417-p2 Пионерская, д. 417
10.228.113.92 es1-mkp-proletar271-p2 Пролетарская, д. 271
10.228.113.86 es1-mkp-proletar300-p1 Пролетарская, д. 300
10.228.113.87 es1-mkp-proletar302-p2 Пролетарская, д. 302
10.228.113.88 es1-mkp-proletar302-p3 Пролетарская, д. 302
10.228.113.89 es2-mkp-proletar304-p1 Пролетарская, д. 304
10.228.113.100 es1-mkp-proletar336-p2 Пролетарская, д. 336
10.228.113.115 es1-mkp-proletar338-p1 Пролетарская, д. 338
10.228.113.101 es1-mkp-proletar353-p2 Пролетарская, д. 353
10.228.113.117 es1-mkp-proletar400-p3 Пролетарская, д. 400
10.228.115.85 d1-mkp-ats1 Жуковского, д. 31
10.228.113.56 es1-mkp-proletar443-p1 Пролетарская, д. 443
10.228.113.62 es1-mkp-proletar447-p2 Пролетарская, д. 447
10.228.113.36 es1-mkp-proletar449-p1 Пролетарская, д. 449
10.228.113.41 es1-mkp-pushkina276-p2 Пушкина, д. 276
10.228.113.40 es1-mkp-pushkina276-p5 Пушкина, д. 276
10.228.113.42 es1-mkp-pushkina280-p2 Пушкина, д. 280
10.228.113.124 es1-mkp-svobod233-p2 Свободы, д. 233
10.228.113.119 es1-mkp-titov87-p2 Титова, д. 87
10.228.113.33 qs1-mkp-chkalova63-p2 Чкалова, д. 63
10.228.113.34 qs1-mkp-chkalova63-p4 Чкалова, д. 63
10.228.113.68 es1-mkp-chkalova73-p3 Чкалова, д. 73
10.228.113.69 es1-mkp-chkalova73-p8 Чкалова, д. 73
10.228.113.132 qs1-mkp-chkalova74-p1 Чкалова, д. 74
