10.228.80.40 qs1-nvrsk-verbovaya21-p2 Вербовая, д. 21
10.228.80.101 qs1-nvrsk-verbovaya7-p1 Вербовая, д. 7
10.228.80.100 qs1-nvrsk-verbovaya5-p2 Вербовая, д. 5
10.228.83.108 qs1-nvrsk-vidova67a-p2 Видова, д. 67/к.А
10.228.83.117 qs1-nvrsk-vidova65-p3 Видова, д. 65
10.228.83.120 qs1-nvrsk-vidova58-p4 Видова, д. 58
10.228.92.70 qs1-nvrsk-vidova173-p2 Видова, д. 173
10.228.92.71 qs1-nvrsk-vidova173-p8 Видова, д. 173
10.228.92.67 qs1-nvrsk-vidova171-p2 Видова, д. 171
10.228.92.54 qs1-nvrsk-vidova169-p5 Видова, д. 169
10.228.92.56 qs1-nvrsk-vidova169-p2 Видова, д. 169
10.228.92.79 qs1-nvrsk-vidova167-p7 Видова, д. 167
10.228.92.72 d1-nvrsk-vidova165-p10 Видова, д. 165
10.228.92.74 qs1-nvrsk-vidova165-p2 Видова, д. 165
10.228.92.75 qs1-nvrsk-vidova165-p4 Видова, д. 165
10.228.83.52 d1-nvrsk-vidova119a-p3 Видова, д. 119/к.А
10.228.83.36 qs1-nvrsk-vidova125-p5 Видова, д. 125
10.228.83.55 qs1-nvrsk-vidova160a Видова, д. 160/к.А
10.228.83.10 qs1-nvrsk-vidova182a Видова, д. 182/к.А
10.228.83.8 qs1-nvrsk-vidova178-p3 Видова, д. 178
10.228.83.16 qs1-nvrsk-vidova186-p2 Видова, д. 186
10.228.83.23 qs1-nvrsk-vidova168-p2 Видова, д. 168
10.228.83.25 qs1-nvrsk-vidova164-p2 Видова, д. 164
10.228.83.34 qs1-nvrsk-vidova162-p1 Видова, д. 162
10.228.83.29 qs1-nvrsk-vidova156a-p3 Видова, д. 156/к.А
10.228.83.17 qs1-nvrsk-vidova190-p3 Видова, д. 190
10.228.84.39 d2-nvrsk-vidova180-p2 Видова, д. 180
10.228.84.19 qs1-nvrsk-vidova87-p1 Видова, д. 87
10.228.92.87 qs1-nvrsk-vidova163a-p2 Видова, д. 163/к.А
10.228.83.82 qs1-nvrsk-anapskoe21-p2 Анапское, д. 21
10.228.83.80 qs1-nvrsk-anapskoe23a-p5 Анапское, д. 23/к.А
10.228.83.85 qs1-nvrsk-anapskoe19-p4 Анапское, д. 19
10.228.83.96 qs1-nvrsk-anapskoe16-p2 Анапское, д. 16
10.228.83.98 qs1-nvrsk-anapskoe12-p5 Анапское, д. 12
10.228.92.62 qs1-nvrsk-anapskoe108-p4 Анапское, д. 108
10.228.92.65 qs1-nvrsk-anapskoe108-p7 Анапское, д. 108
10.228.83.102 qs1-nvrsk-anapskoe7-p1 Анапское, д. 7
10.228.83.62 qs1-nvrsk-anapskoe66b-p2 Анапское, д. 66/к.Б
10.228.83.42 qs1-nvrsk-anapskoe64-p2 Анапское, д. 64
10.228.83.70 qs1-nvrsk-anapskoe20-p2 Анапское, д. 20
10.228.83.103 qs1-nvrsk-anapskoe5-p1 Анапское, д. 5
10.228.83.105 qs1-nvrsk-anapskoe4-p2 Анапское, д. 4
10.228.83.76 qs1-nvrsk-anapskoe39 Анапское, д. 39
10.228.83.72 qs1-nvrsk-anapskoe27 Анапское, д. 27
10.228.91.198 es1-nvrsk-desant47-p2 Героев Десантников, д. 47
10.228.82.108 qs1-nvrsk-desantnikov3 Героев Десантников, д. 3
10.228.81.86 qs1-nvrsk-desantnikov28-p3 Героев Десантников, д. 28
10.228.81.68 qs1-nvrsk-desantnikov20-p2 Героев Десантников, д. 20
10.228.81.66 qs1-nvrsk-desantnikov18-p2 Героев Десантников, д. 18
10.228.81.64 qs1-nvrsk-desantnikov14-p2 Героев Десантников, д. 14
10.228.81.52 qs1-nvrsk-desantnikov10-p2 Героев Десантников, д. 10
10.228.81.50 qs1-nvrsk-desantnikov24-p2 Героев Десантников, д. 24
10.228.81.69 qs1-nvrsk-desantnikov22-p1 Героев Десантников, д. 22
10.228.91.216 es1-nvrsk-desant79-p1 Героев Десантников, д. 79
10.228.91.209 es1-nvrsk-desant65-3 Героев Десантников, д. 65/к./3
10.228.91.208 es1-nvrsk-desant65-2-p2 Героев Десантников, д. 65/к./2
10.228.82.140 qs1-nvrsk-desantnikov15 Героев Десантников, д. 15
10.228.82.131 qs1-nvrsk-desantnikov27-p5 Героев Десантников, д. 27
10.228.82.132 qs1-nvrsk-desantnikov27-p2 Героев Десантников, д. 27
10.228.82.74 qs1-nvrsk-alekseeva29-p3 Алексеева, д. 29
10.228.81.35 qs1-nvrsk-volgogradskaya20-p2 Волгоградская, д. 20
10.228.81.77 qs1-nvrsk-volgogradskaya34-p2 Волгоградская, д. 34
10.228.81.80 qs1-nvrsk-volgogradskaya36-p2 Волгоградская, д. 36
10.228.81.47 qs1-nvrsk-volgogradskaya16-p5 Волгоградская, д. 16
10.228.81.36 qs1-nvrsk-volgogradskaya12-p1 Волгоградская, д. 12
10.228.81.21 qs1-nvrsk-volgogradskaya22-p3 Волгоградская, д. 22
10.228.80.110 qs1-nvrsk-dzerjinskogo219-p2 Дзержинского, д. 219
10.228.80.21 qs1-nvrsk-dzerjinskogo216-p1 Дзержинского, д. 216
10.228.91.188 es1-nvrsk-dzer191-p2 Дзержинского, д. 191
10.228.91.187 es1-nvrsk-dzer189-p2 Дзержинского, д. 189
10.228.91.185 es1-nvrsk-dzer187-p2 Дзержинского, д. 187
10.228.91.183 es1-nvrsk-dzer185-p2 Дзержинского, д. 185
10.228.91.184 es1-nvrsk-dzer185-p5 Дзержинского, д. 185
10.228.91.182 es1-nvrsk-dzer183 Дзержинского, д. 183
10.228.82.151 qs1-nvrsk-dzerjinskogo174-p2 Дзержинского, д. 174
10.228.82.149 qs1-nvrsk-dzerjinskogo172-p5 Дзержинского, д. 172
10.228.81.57 qs1-nvrsk-dzerjinskogo209-p2 Дзержинского, д. 209
10.228.82.113 qs1-nvrsk-dzerjinskogo164-p2 Дзержинского, д. 164
10.228.82.116 qs1-nvrsk-dzerjinskogo162 Дзержинского, д. 162
10.228.82.145 qs1-nvrsk-dzerjinskogo160-p5 Дзержинского, д. 160
10.228.82.7 qs1-nvrsk-dzerjinskogo150-p2 Дзержинского, д. 150
10.228.82.63 qs1-nvrsk-dzerjinskogo136-p1 Дзержинского, д. 136
10.228.82.58 qs1-nvrsk-dzerjinskogo132-p1 Дзержинского, д. 132
10.228.81.56 qs1-nvrsk-dzerjinskogo207-p2 Дзержинского, д. 207
10.228.80.28 qs1-nvrsk-dzerjinskogo206-p1 Дзержинского, д. 206
10.228.81.55 qs1-nvrsk-dzerjinskogo205a Дзержинского, д. 205/к.А
10.228.91.197 es1-nvrsk-dzer205-p2 Дзержинского, д. 205
10.228.81.230 d1-nvrsk-dzerjinskogo204-p6 Дзержинского, д. 204
10.228.80.46 qs1-nvrsk-dzerjinskogo202-p2 Дзержинского, д. 202
10.228.80.31 qs1-nvrsk-dzerjinskogo198-p3 Дзержинского, д. 198
10.228.91.190 es1-nvrsk-dzer197-p2 Дзержинского, д. 197
10.228.91.189 es1-nvrsk-dzer195-p2 Дзержинского, д. 195
10.228.82.148 qs1-nvrsk-dzerjinskogo168-p3 Дзержинского, д. 168
10.228.83.63 qs1-nvrsk-dneprov5-p2 Днепровский, д. 5
10.228.83.89 qs1-nvrsk-gajdara27-p2 Гайдара, д. 27
10.228.83.94 qs1-nvrsk-gajdara29-p5 Гайдара, д. 29
10.228.83.33 qs1-nvrsk-gajdara2a-p2 Гайдара, д. 2/к.А
10.228.82.129 qs1-nvrsk-desantnikov31-p5 Героев Десантников, д. 31
10.228.82.130 qs1-nvrsk-desantnikov31-p2 Героев Десантников, д. 31
10.228.82.128 qs1-nvrsk-desantnikov33-p3 Героев Десантников, д. 33
10.228.82.152 qs1-nvrsk-desantnikov39-p2 Героев Десантников, д. 39
10.228.82.159 qs1-nvrsk-desantnikov35a Героев Десантников, д. 35/к.А
10.228.82.157 qs1-nvrsk-desantnikov35-p5 Героев Десантников, д. 35
10.228.82.158 qs1-nvrsk-desantnikov35-p2 Героев Десантников, д. 35
10.228.91.218 es1-nvrsk-desant59-p2 Героев Десантников, д. 59
10.228.91.214 es1-nvrsk-desant57-p2 Героев Десантников, д. 57
10.228.91.224 es1-nvrsk-desant97-p1 Героев Десантников, д. 97
10.228.91.222 es1-nvrsk-desant95 Героев Десантников, д. 95
10.228.91.223 es2-nvrsk-desant95 Героев Десантников, д. 95
10.228.91.226 es1-nvrsk-desant91 Героев Десантников, д. 91
10.228.91.220 es1-nvrsk-desant85-p1 Героев Десантников, д. 85
10.228.91.221 es1-nvrsk-desant85-p2 Героев Десантников, д. 85
10.228.91.217 es1-nvrsk-desant81-p1 Героев Десантников, д. 81
10.228.82.111 qs1-nvrsk-desantnikov11-p4 Героев Десантников, д. 11
10.228.82.133 qs1-nvrsk-desantnikov23-p2 Героев Десантников, д. 23
10.228.82.134 qs1-nvrsk-desantnikov23-p5 Героев Десантников, д. 23
10.228.82.135 qs1-nvrsk-desantnikov21-p5 Героев Десантников, д. 21
10.228.82.139 qs1-nvrsk-desantnikov17 Героев Десантников, д. 17
10.228.81.60 qs1-nvrsk-volgogradskaya48-p2 Волгоградская, д. 48
10.228.81.61 qs1-nvrsk-volgogradskaya50-p2 Волгоградская, д. 50
10.228.80.137 qs1-nvrsk-lenina9-p2 Ленина, д. 9
10.228.82.101 qs1-nvrsk-lenina87-p5 Ленина, д. 87
10.228.82.99 qs1-nvrsk-lenina85-p2 Ленина, д. 85
10.228.82.100 qs1-nvrsk-lenina85-p5 Ленина, д. 85
10.228.82.109 qs1-nvrsk-lenina83-p2 Ленина, д. 83
10.228.82.98 qs1-nvrsk-lenina81-p3 Ленина, д. 81
10.228.82.93 qs1-nvrsk-lenina75-p5 Ленина, д. 75
10.228.82.142 qs1-nvrsk-lenina71-p3 Ленина, д. 71
10.228.82.92 qs1-nvrsk-lenina61-p3 Ленина, д. 61
10.228.80.153 qs1-nvrsk-lenina6-p1 Ленина, д. 6
10.228.82.77 qs1-nvrsk-lenina57-p2 Ленина, д. 57
10.228.82.79 qs1-nvrsk-lenina55-p5 Ленина, д. 55
10.228.82.80 qs1-nvrsk-lenina55-p2 Ленина, д. 55
10.228.80.132 qs1-nvrsk-lenina5-p2 Ленина, д. 5
10.228.82.124 qs1-nvrsk-lenina49-p2 Ленина, д. 49
10.228.82.122 qs1-nvrsk-lenina47-p2 Ленина, д. 47
